ALG	DATA SET	PLEN	AVG T	STDEV T	T ERR	T CONF INT	AVG C	STDEV C	C ERR	C CONF INT
BF	BINA.txt	4	0.024833	0.000461	0.000090	[0.024743 to 0.024923]	1874974.000000	1079.611041	211.603764	[1874762.396236 to 1875185.603764]
BF	BINA.txt	8	0.026836	0.000689	0.000135	[0.026701 to 0.026971]	1992195.000000	1243.673591	243.760024	[1991951.239976 to 1992438.760024]
BF	BINA.txt	16	0.026900	0.000700	0.000137	[0.026762 to 0.027037]	1999726.000000	1359.766524	266.514239	[1999459.485761 to 1999992.514239]
BF	BINA.txt	32	0.026854	0.000565	0.000111	[0.026743 to 0.026964]	2000050.000000	1481.721296	290.417374	[1999759.582626 to 2000340.417374]
BF	BINA.txt	64	0.026827	0.000629	0.000123	[0.026704 to 0.026950]	2000048.000000	1475.819433	289.260609	[1999758.739391 to 2000337.260609]
BF	BINA.txt	128	0.026834	0.000627	0.000123	[0.026711 to 0.026957]	1999685.000000	1342.868944	263.202313	[1999421.797687 to 1999948.202313]
BF	RDNA.txt	4	0.018065	0.000547	0.000107	[0.017958 to 0.018172]	1335937.000000	19640.981569	3849.632388	[1332087.367612 to 1339786.632388]
BF	RDNA.txt	8	0.018168	0.000575	0.000113	[0.018055 to 0.018281]	1345305.000000	22631.682262	4435.809723	[1340869.190277 to 1349740.809723]
BF	RDNA.txt	16	0.018184	0.000580	0.000114	[0.018070 to 0.018298]	1346388.000000	21452.665242	4204.722387	[1342183.277613 to 1350592.722387]
BF	RDNA.txt	32	0.018395	0.000642	0.000126	[0.018269 to 0.018521]	1350117.000000	24866.583320	4873.850331	[1345243.149669 to 1354990.850331]
BF	RDNA.txt	64	0.018154	0.000640	0.000125	[0.018028 to 0.018279]	1344624.000000	25428.671475	4984.019609	[1339639.980391 to 1349608.019609]
BF	RDNA.txt	128	0.018144	0.000556	0.000109	[0.018035 to 0.018253]	1345627.000000	25106.245020	4920.824024	[1340706.175976 to 1350547.824024]
BF	RLNG.txt	4	0.012682	0.001302	0.000255	[0.012427 to 0.012937]	1087406.000000	54728.944910	10726.873202	[1076679.126798 to 1098132.873202]
BF	RLNG.txt	8	0.012789	0.001286	0.000252	[0.012537 to 0.013042]	1093416.000000	55804.919514	10937.764225	[1082478.235775 to 1104353.764225]
BF	RLNG.txt	16	0.012564	0.001102	0.000216	[0.012348 to 0.012780]	1083770.000000	47417.122540	9293.756018	[1074476.243982 to 1093063.756018]
BF	RLNG.txt	32	0.012514	0.001247	0.000244	[0.012270 to 0.012759]	1081805.000000	53596.994169	10505.010857	[1071299.989143 to 1092310.010857]
BF	RLNG.txt	64	0.012556	0.001148	0.000225	[0.012331 to 0.012781]	1083376.000000	49560.714704	9713.900082	[1073662.099918 to 1093089.900082]
BF	RLNG.txt	128	0.012868	0.001348	0.000264	[0.012604 to 0.013132]	1097038.000000	58318.622755	11430.450060	[1085607.549940 to 1108468.450060]
BF	SDNA.txt	4	0.018215	0.000369	0.000072	[0.018143 to 0.018287]	1328163.000000	776.662089	152.225769	[1328010.774231 to 1328315.225769]
BF	SDNA.txt	8	0.018246	0.000402	0.000079	[0.018167 to 0.018325]	1333394.000000	782.623153	153.394138	[1333240.605862 to 1333547.394138]
